"","cluster","gene","avg_log2FC","p_val","pct.1","pct.2","p_val_adj"
"46","2","Lhcgr",9.2,0,0.108,0.051,0
"47","2","Ndufc1",8.84,0,0.363,0.356,0
"48","2","Wnk2",8.81,0,0.064,0.08,0
"49","2","Ube2r2",8.8,0,0.464,0.345,0
"50","2","Lgalsl",8.67,0,0.215,0.281,0
"51","2","Smdt1",8.6,0,0.301,0.382,0.01
"52","2","Snrnp27",8.36,0,0.366,0.314,0
"53","2","Gal3st4",8.3,0,0.599,0.192,0
"54","2","Zfand3",8.28,0,0.26,0.308,0
"55","2","Samd4",8.22,0,0.173,0.326,0.34
"56","2","Ccdc159",8.2,0,0.067,0.213,0
"57","2","Dcun1d5",8.19,0,0.253,0.324,0.4
"58","2","Pfdn1",8.04,0,0.36,0.324,0
"59","2","Ncmap",8.03,0,0.75,0.252,0
"60","2","Cript",8.02,0,0.203,0.33,0.14
"61","3","Amhr2",13.36,0,0.321,0.101,0
"62","3","Cyp2s1",12.06,0,0.629,0.162,0
"63","3","Slc23a3",11.34,0,0.128,0.093,0
"64","3","Adgrb2",11.27,0,0.692,0.172,0
"65","3","Cldn10",11.23,0,0.619,0.141,0
"66","3","Fxyd3",10.76,0,0.76,0.246,0
"67","3","Pard6b",10.14,0,0.436,0.117,0
"68","3","Tmem98",10.12,0,0.336,0.181,0
"69","3","Alad",10.06,0,0.342,0.217,0
"70","3","Fgf1",10.03,0,0.249,0.231,0
"71","3","Myrf",9.49,0,0.287,0.17,0
"72","3","Zfp185",9.4,0,0.495,0.215,0
"73","3","Mroh2a",9.31,0,0.07,0.06,0
"74","3","Fam184a",9.12,0,0.376,0.167,0
"75","3","Wt1",9.08,0,0.416,0.063,0
"76","3","Sox30",9.03,0,0.006,0.07,0
"77","3","Tmem151a",8.95,0,0.345,0.171,0
"78","3","Gsta4",8.89,0,0.27,0.141,0
"79","3","Tmem165",8.76,0,0.311,0.298,0
"80","3","Wwc1",8.61,0,0.318,0.122,0
"81","4","Tnip3",26.9,0,0.341,0.023,0
"82","4","Ifitm6",24.22,0,0.702,0.029,0
"83","4","Trem3",20.11,0,0.254,0.025,0
"84","4","Tlr8",19.97,0,0.608,0.002,0
"85","4","Gm36161",19.96,0,0.587,0.014,0
"86","4","Fcgr3",19.4,0,0.899,0.011,0
"87","4","Cd300lb",19.28,0,0.622,0.041,0
"88","4","Ms4a8a",19.25,0,0.599,0.006,0
"89","4","Cd300ld",18.99,0,0.806,0.034,0
"90","4","Csf3r",18.92,0,0.496,0.034,0
"91","4","Msr1",18.64,0,0.634,0.029,0
"92","4","Trem1",18.55,0,0.339,0.077,0
"93","4","Lrrc25",18.23,0,0.64,0.029,0
"94","4","Lilra6",18.19,0,0.489,0.029,0
"95","4","C3ar1",17.9,0,0.804,0.007,0
"96","4","Slamf8",17.87,0,0.48,0.034,0
"97","4","Ms4a7",17.76,0,0.599,0.03,0
"98","4","Apoc2",17.44,0,0.34,0.034,0
"99","4","1600010M07Rik",17.33,0,0.466,0.064,0
"100","4","Pilrb2",17.26,0,0.6,0.014,0
"101","5","Pmel",7.73,0,0.095,0.129,0
"102","5","3930402G23Rik",7.63,0,0.324,0.166,0
"103","5","A530046M15Rik",7.5,0,0.326,0.156,0
"104","5","4933429H19Rik",7.38,0,0.293,0.236,0
"105","5","Shd",7.02,0,0.305,0.107,0
"106","5","Gcnt4",6.96,0,0.261,0.156,0
"107","5","Trnp1",6.9,0,0.233,0.146,0
"108","5","Lmntd1",6.63,0,0.167,0.097,0
"109","5","Pcdhgb2",6.43,0,0.333,0.199,0
"110","5","Zwilch",6.31,0,0.231,0.263,0
"111","5","AC241534.1",6.28,0,0.287,0.153,0
"112","5","Gm46378",6.21,0,0.292,0.167,0
"113","5","Erbb4",6.16,0,0.392,0.152,0.01
"114","5","1110035H17Rik",6.13,0,0.286,0.218,0
