"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Filip1l",0.133036203045435,11.3336977660138,8.13952245581469,4.44058937632503e-16,5.03753757949522e-16,24.6014426189905
"Itga5",-0.101711799863633,10.3632734591746,-8.15616738603406,3.87322820866652e-16,4.39639978282238e-16,24.382854568575
"Odc1",-0.0826209941721991,10.2759050691948,-8.11565671487221,5.3995771369608e-16,6.12196954303946e-16,23.9422623367345
"Ppp1r2",-0.114175062564744,10.6274640564376,-8.07494465541787,7.52782918147909e-16,8.53011805266753e-16,23.9328422256353
"Mical2",-0.118748002119554,10.6035836069903,-8.04678734271529,9.46391006703526e-16,1.0711839351483e-15,23.6960468961308
"Mef2c",0.120488699132967,11.0221602344081,7.97929475108194,1.63296841404036e-15,1.84724933714973e-15,23.2739438464166
"Scx",-0.0600195719803533,10.1078112066614,-8.05345832914635,8.96501031724656e-16,1.01528995665306e-15,23.1266682746477
"Nktr",-0.115743327309954,10.5235780414421,-7.97775012471671,1.65339731438194e-15,1.86930165560423e-15,23.0996950826673
"Slc22a1",-0.077603234347901,10.2269198140485,-7.95149438871488,2.0417585102235e-15,2.30707176296441e-15,22.5454266090169
"Ptp4a3",-0.096071705902725,10.3400678173285,-7.86927912787864,3.93592496343784e-15,4.44235323187115e-15,22.0765895950805
"Psme1",-0.0905814783088239,10.4049431520058,-7.8470318201698,4.69559825538454e-15,5.29379735669057e-15,21.9717086516465
"Gadd45b",-0.0901482014482404,10.3332151163444,-7.84086934824485,4.93042649950514e-15,5.55541014028748e-15,21.83992980829
"Adamts9",-0.0591064129893972,10.0771988241145,-7.88362034590943,3.5117999949235e-15,3.96589496885771e-15,21.7150435141172
"Dgkb",-0.0703875216255394,10.1467448032049,-7.85963304839312,4.24916898629592e-15,4.79319682605293e-15,21.6850293957486
"Igsf9b",-0.0848949661759111,10.2015536743384,-7.80480797798047,6.55518038909617e-15,7.38195989763082e-15,21.3580136668672
"mt-Nd6",-0.125027672637362,10.3509531706567,-7.74721371734484,1.03042389666638e-14,1.1597342674917e-14,21.1529069912422
"Itih4",0.0959154035566048,10.3635436114341,7.66009253569812,2.03004058112651e-14,2.28351021499045e-14,20.5075050611481
"Col3a1",0.124864617945811,11.8152514316214,7.61277169176791,2.92498586297984e-14,3.28650096964027e-14,20.4884647739748
"Rps11",-0.0745206346662854,12.0932861952547,-7.58968241928521,3.49282990745983e-14,3.9201233529291e-14,20.3066373702294
"Arrdc3",-0.0842427996823147,10.2649626379615,-7.64451728193721,2.2899007344179e-14,2.5743684479122e-14,20.2358785228101
"Plcb4",0.119553461543694,11.0337028499384,7.58424619754908,3.6415532729821e-14,4.08474848343477e-14,20.2214654606034
"Bst2",-0.0936289976642257,10.3984856278273,-7.5906697857755,3.46646623099988e-14,3.89271895676573e-14,19.9985743066374
"Blvrb",-0.0986941211495793,10.349927539356,-7.5369936600942,5.22603465682145e-14,5.85878324755768e-14,19.5445674412305
"Gadd45g",-0.0912215660488478,10.3533084676802,-7.35592606041244,2.04485555713506e-13,2.28987184449615e-13,18.2020561719984
"Mfap4",0.112308425824837,10.5776718429637,7.29507713231822,3.21130413527923e-13,3.59407289902544e-13,17.9394458024874
"Unc119",-0.0576364729785954,10.1329358972421,-7.36802111986209,1.86859126487019e-13,2.09365968052682e-13,17.928486074439
"Ctsh",-0.107540195588181,10.7222282283495,-7.21226464753568,5.90140152921128e-13,6.59743044070573e-13,17.4183836515653
"Bdnf",-0.0533266554732048,10.0843874320523,-7.28433995486237,3.4762321508341e-13,3.88840285328199e-13,17.2129323197065
"Sparc",0.0981647202270892,12.1756598631395,7.0991287069059,1.3407330909645e-12,1.49385302614429e-12,16.7214666918355
"Sncg",-0.0724809418542502,10.1835961016096,-7.18449412702045,7.22657244606134e-13,8.07438262129758e-13,16.712419582517
"Ank2",-0.0919773338781198,10.3323426333977,-7.14813335950074,9.41095724146253e-13,1.0509164982091e-12,16.6838574577103
"Smad7",-0.090063724750328,10.4136220619183,-7.11860483165948,1.16512917968627e-12,1.30036738804272e-12,16.5614706162913
"Dlc1",-0.0895417181003921,10.3682512702861,-7.04458539848767,1.98261040206503e-12,2.20657807686704e-12,15.9955631177528
"Hilpda",-0.0502512729864648,10.0983958362403,-7.09917894820557,1.34024827693083e-12,1.49385302614429e-12,15.9225505312883
"Igfbp2",-0.043211040289874,10.0222938257124,-7.1156643092424,1.19011609899745e-12,1.32751377467646e-12,15.8608382974973
"Vamp5",-0.0598793443089907,10.1714636163048,-7.0530620587448,1.86601758142733e-12,2.07797058065404e-12,15.7530904350972
"Ninj1",-0.0669322119444793,10.2496962970239,-6.95429860402256,3.76463220945222e-12,4.18524981595578e-12,15.2040724485859
"Tia1",-0.0764492048581413,10.2228322333853,-6.95632677056209,3.71111458229137e-12,4.12804736628629e-12,15.1803927201727
